previousClose,13059.646
regularMarketOpen,13008.8
twoHundredDayAverage,12467.372
trailingAnnualDividendYield,None
payoutRatio,None
volume24Hr,None
regularMarketDayHigh,13075.75
navPrice,None
averageDailyVolume10Day,5472178333
totalAssets,None
regularMarketPreviousClose,13059.646
fiftyDayAverage,13392.727
trailingAnnualDividendRate,None
open,13008.8
toCurrency,None
averageVolume10days,5472178333
expireDate,None
yield,None
algorithm,None
dividendRate,None
exDividendDate,None
beta,None
circulatingSupply,None
startDate,None
regularMarketDayLow,12922.572
priceHint,2
currency,USD
regularMarketVolume,4292972154
lastMarket,None
maxSupply,None
openInterest,None
marketCap,None
volumeAllCurrencies,None
strikePrice,None
averageVolume,6777964000
priceToSalesTrailing12Months,None
dayLow,12922.572
ask,0
ytdReturn,None
askSize,0
volume,4292972154
fiftyTwoWeekHigh,14175.12
forwardPE,None
maxAge,1
fromCurrency,None
fiveYearAvgDividendYield,None
fiftyTwoWeekLow,7288.11
bid,0
tradeable,False
dividendYield,None
bidSize,0
dayHigh,13075.75
exchange,NIM
shortName,NASDAQ Composite
exchangeTimezoneName,America/New_York
exchangeTimezoneShortName,EDT
isEsgPopulated,False
gmtOffSetMilliseconds,-14400000
quoteType,INDEX
symbol,^IXIC
messageBoardId,finmb_INDEXIXIC
market,us_market
regularMarketPrice,13045.395
logo_url,
