,2020-06-30,2019-06-30,2018-06-30,2017-06-30
Intangible Assets,7038000000.0,7750000000.0,8053000000.0,10106000000.0
Total Liab,183007000000.0,184226000000.0,176130000000.0,162601000000.0
Total Stockholder Equity,118304000000.0,102330000000.0,82718000000.0,87711000000.0
Other Current Liab,46001000000.0,45860000000.0,38195000000.0,30879000000.0
Total Assets,301311000000.0,286556000000.0,258848000000.0,250312000000.0
Common Stock,80552000000.0,78520000000.0,71223000000.0,69315000000.0
Other Current Assets,11517000000.0,10133000000.0,6855000000.0,5183000000.0
Retained Earnings,34566000000.0,24150000000.0,13682000000.0,17769000000.0
Other Liab,34492000000.0,35699000000.0,35707000000.0,22986000000.0
Good Will,43351000000.0,42026000000.0,35683000000.0,35122000000.0
Treasury Stock,3186000000.0,-340000000.0,-2187000000.0,627000000.0
Other Assets,13138000000.0,14723000000.0,7442000000.0,6076000000.0
Cash,13576000000.0,11356000000.0,11946000000.0,7663000000.0
Total Current Liabilities,72310000000.0,69420000000.0,58488000000.0,55745000000.0
Deferred Long Term Asset Charges,6405000000.0,7536000000.0,1369000000.0,248000000.0
Short Long Term Debt,3749000000.0,5516000000.0,3998000000.0,1049000000.0
Other Stockholder Equity,3186000000.0,-340000000.0,-2187000000.0,627000000.0
Property Plant Equipment,52904000000.0,43856000000.0,36146000000.0,30289000000.0
Total Current Assets,181915000000.0,175552000000.0,169662000000.0,162696000000.0
Long Term Investments,2965000000.0,2649000000.0,1862000000.0,6023000000.0
Net Tangible Assets,67915000000.0,52554000000.0,38982000000.0,42483000000.0
Short Term Investments,122916000000.0,122476000000.0,121718000000.0,125238000000.0
Net Receivables,32011000000.0,29524000000.0,26481000000.0,22431000000.0
Long Term Debt,59578000000.0,66662000000.0,72242000000.0,76073000000.0
Inventory,1895000000.0,2063000000.0,2662000000.0,2181000000.0
Accounts Payable,12530000000.0,9382000000.0,8617000000.0,7390000000.0
